state_abbrv,state,coast
AL,Alabama,Gulf coast
CA,California,Pacific coast
CT,Connecticut,Atlantic coast
DC,District of Columbia,Atlantic coast
DE,Delaware,Atlantic coast
FL,Florida,Gulf coast
GA,Georgia,Atlantic coast
LA,Louisiana,Gulf coast
MA,Massachusetts,Atlantic coast
MD,Maryland,Atlantic coast
ME,Maine,Atlantic coast
MS,Mississippi,Gulf coast
NC,North Carolina,Atlantic coast
NH,New Hampshire,Atlantic coast
NJ,New Jersey,Atlantic coast
NY,New York,Atlantic coast
OR,Oregon,Pacific coast
PA,Pennsylvania,Atlantic coast
RI,Rhode Island,Atlantic coast
SC,South Carolina,Atlantic coast
TX,Texas,Gulf coast
VA,Virginia,Atlantic coast
WA,Washington,Pacific coast