study_id,site_id,core_id,depth_min,depth_max,c14_age,c14_age_se,c14_material,depth_med,carbonate_or_organic
Belshe_et_al_2019,EP,EP05,24,25,398,23,seagrass_sheath,24.5,organic
Belshe_et_al_2019,EP,EP05,26,27,379,24,seagrass_sheath,26.5,organic
Belshe_et_al_2019,EP,EP05,34,35,467,27,seagrass_sheath,34.5,organic
Belshe_et_al_2019,EP,EP05,44,45,502,27,seagrass_sheath,44.5,organic
Belshe_et_al_2019,EP,EP05,54,55,1741,28,seagrass_sheath,54.5,organic
Belshe_et_al_2019,EP,EP05,64,65,1940,26,seagrass_sheath,64.5,organic
Belshe_et_al_2019,EP,EP05,84,85,1788,29,seagrass_sheath,84.5,organic
Belshe_et_al_2019,SM,SM05,24,25,75,26,seagrass_sheath,24.5,organic
Belshe_et_al_2019,SM,SM05,34,35,105,28,seagrass_sheath,34.5,organic
Belshe_et_al_2019,SM,SM05,43,44,366,25,seagrass_sheath,43.5,organic
Belshe_et_al_2019,SM,SM05,44,45,439,25,seagrass_sheath,44.5,organic
Belshe_et_al_2019,SM,SM10,36,37,449,28,seagrass_sheath,36.5,organic
Belshe_et_al_2019,SM,SM10,40,41,384,29,seagrass_sheath,40.5,organic
Belshe_et_al_2019,SM,SM10,46,47,479,26,seagrass_sheath,46.5,organic
Belshe_et_al_2019,SM,SM10,62,63,593,61,seagrass_sheath,62.5,organic
Belshe_et_al_2019,SM,SM10,82,83,740,34,seagrass_sheath,82.5,organic
Belshe_et_al_2019,SM,SM10,124,125,1063,43,seagrass_sheath,124.5,organic
Belshe_et_al_2019,SM,SM15,30,31,610,24,seagrass_sheath,30.5,organic
Belshe_et_al_2019,SM,SM15,34,35,573,23,seagrass_sheath,34.5,organic
Belshe_et_al_2019,SM,SM15,51,52,1732,32,seagrass_sheath,51.5,organic
Belshe_et_al_2019,SM,SM15,54,55,1508,29,seagrass_sheath,54.5,organic
Belshe_et_al_2019,SM,SM15,64,65,1583,23,seagrass_sheath,64.5,organic
Belshe_et_al_2019,SM,SM15,79,80,2447,32,seagrass_sheath,79.5,organic
Belshe_et_al_2019,SM,SM25,24,25,508,20,seagrass_sheath,24.5,organic
Belshe_et_al_2019,SM,SM25,30,31,608,27,seagrass_sheath,30.5,organic
Belshe_et_al_2019,SM,SM25,34,35,604,29,seagrass_sheath,34.5,organic
Belshe_et_al_2019,SM,SM25,44,45,1000,27,seagrass_sheath,44.5,organic
Belshe_et_al_2019,SM,SM25,50,51,1234,27,seagrass_sheath,50.5,organic
Belshe_et_al_2019,SM,SM25,64,65,1957,24,seagrass_sheath,64.5,organic
Belshe_et_al_2019,SM,SM25,70,71,1985,25,seagrass_sheath,70.5,organic
Belshe_et_al_2019,SM,SM25,83,84,2178,28,seagrass_sheath,83.5,organic
Costa_et_al_2023,Baja-Bahia Magdalena,Baja-Bahia Magdalena-III,126,128,1301,51,Woody mangrove material (seemingly mostly remains of roots),127,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,0,5,6,0,Woody mangrove material (seemingly mostly remains of roots),2.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,20,25,35,28,Woody mangrove material (seemingly mostly remains of roots),22.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,40,45,34.5,26.5,Woody mangrove material (seemingly mostly remains of roots),42.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,60,65,5242.5,121.5,Woody mangrove material (seemingly mostly remains of roots),62.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,80,85,1874.5,71.5,Woody mangrove material (seemingly mostly remains of roots),82.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,100,105,2058,65,Woody mangrove material (seemingly mostly remains of roots),102.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,120,125,1730,47,Woody mangrove material (seemingly mostly remains of roots),122.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,140,145,3463,50,Woody mangrove material (seemingly mostly remains of roots),142.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,160,165,3835.5,66.5,Woody mangrove material (seemingly mostly remains of roots),162.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,180,185,3969.5,60.5,Woody mangrove material (seemingly mostly remains of roots),182.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,200,205,4055.5,82.5,Woody mangrove material (seemingly mostly remains of roots),202.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,220,225,5020,81,Woody mangrove material (seemingly mostly remains of roots),222.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,240,245,5322.5,179.5,Woody mangrove material (seemingly mostly remains of roots),242.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,260,265,5028.5,84.5,Woody mangrove material (seemingly mostly remains of roots),262.5,organic
Costa_et_al_2023,Baja-El Merito I (EMI),Baja-El Merito I (EMI)-I,280,285,5263,124,Woody mangrove material (seemingly mostly remains of roots),282.5,organic
Costa_et_al_2023,Baja-Las Animas,Baja-Las Animas-I,193,195,738,17,Woody mangrove material (seemingly mostly remains of roots),194,organic
Costa_et_al_2023,Baja-San Gabriel II (SGII),Baja-San Gabriel II (SGII)-I,0,5,6.5,0.5,Woody mangrove material (seemingly mostly remains of roots),2.5,organic
Costa_et_al_2023,Baja-San Gabriel II (SGII),Baja-San Gabriel II (SGII)-I,20,25,219.5,150.5,Woody mangrove material (seemingly mostly remains of roots),22.5,organic
Costa_et_al_2023,Baja-San Gabriel II (SGII),Baja-San Gabriel II (SGII)-I,40,45,754,18,Woody mangrove material (seemingly mostly remains of roots),42.5,organic
Costa_et_al_2023,Baja-San Gabriel II (SGII),Baja-San Gabriel II (SGII)-I,54,59,739.5,14.5,Woody mangrove material (seemingly mostly remains of roots),56.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-I,20,25,30,22,Woody mangrove material (seemingly mostly remains of roots),22.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-I,40,45,29,21,Woody mangrove material (seemingly mostly remains of roots),42.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-I,60,65,33,27,Woody mangrove material (seemingly mostly remains of roots),62.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-I,80,85,32.5,25.5,Woody mangrove material (seemingly mostly remains of roots),82.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-I,100,105,1766,83,Woody mangrove material (seemingly mostly remains of roots),102.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-I,114,119,1835,54,Woody mangrove material (seemingly mostly remains of roots),116.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,0,5,6.5,0.5,Woody mangrove material (seemingly mostly remains of roots),2.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,20,25,36,31,Woody mangrove material (seemingly mostly remains of roots),22.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,40,45,27.5,19.5,Woody mangrove material (seemingly mostly remains of roots),42.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,60,65,553.5,22.5,Woody mangrove material (seemingly mostly remains of roots),62.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,80,85,895,82,Woody mangrove material (seemingly mostly remains of roots),82.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,100,105,738,12,Woody mangrove material (seemingly mostly remains of roots),102.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,120,125,120,8,Woody mangrove material (seemingly mostly remains of roots),122.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,140,145,1503.5,81.5,Woody mangrove material (seemingly mostly remains of roots),142.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,160,165,599,20,Woody mangrove material (seemingly mostly remains of roots),162.5,organic
Costa_et_al_2023,Baja-San Jose (SJ),Baja-San Jose (SJ)-II,180,185,4186,110,Woody mangrove material (seemingly mostly remains of roots),182.5,organic
Costa_et_al_2023,Baja-San Lucas,Baja-San Lucas-3,45,50,296,76,Woody mangrove material (seemingly mostly remains of roots),47.5,organic
Costa_et_al_2023,Baja-Santa Barbara II,Baja-Santa Barbara II-1,71,75,571,20,Woody mangrove material (seemingly mostly remains of roots),73,organic
Costa_et_al_2023,PanamaPacific-LP I,PanamaPacific-LP I-2,94,99,1484.5,106.5,Woody mangrove material (seemingly mostly remains of roots),96.5,organic
Costa_et_al_2023,PanamaPacific-VE II,PanamaPacific-VE II-1,422,427,1541,68,Woody mangrove material (seemingly mostly remains of roots),424.5,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,104,106,960,35,Charcoal,105,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,120,122,1265,35,Wood,121,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,162,164,1315,40,Achenes,163,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,186,188,1290,30,Achenes,187,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,188,190,1340,30,Achenes,189,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,206,208,1415,35,Wood,207,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,294,296,2200,60,Plant fragment,295,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,406.00000000000006,408,3075,35,Plant fragment,407,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,470,472,3315,35,Plant fragment,471,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,546,548,4005,30,Wood,547,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,604,606,4350,40,Charcoal,605,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,606,608,4420,35,Achenes,607,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,646,648,4450,35,Achenes,647,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,690,692,4890,35,Achenes,691,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,704,706,4955,35,Charcoal,705,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,706,708,4935,35,Achenes,707,organic
Drexler_et_al_2009,Bacon Channel Island,BACHI,724,726,5085,40,Achenes,725,organic
Drexler_et_al_2009,Franks Wetland,FW,48.00000000000001,50,140,30,Achenes,49,organic
Drexler_et_al_2009,Franks Wetland,FW,50,52,215,35,Plant fragment,51,organic
Drexler_et_al_2009,Franks Wetland,FW,240,242,1610,40,Plant fragment,241,organic
Drexler_et_al_2009,Franks Wetland,FW,350,352,2530,40,Charcoal,351,organic
Drexler_et_al_2009,Franks Wetland,FW,446.0000000000001,448.00000000000006,3140,35,Charcoal,447.0000000000001,organic
Drexler_et_al_2009,Franks Wetland,FW,550,552,4040,40,Achenes,551,organic
Drexler_et_al_2009,Franks Wetland,FW,594.0000000000001,596.0000000000001,4435,35,Achenes,595.0000000000001,organic
Drexler_et_al_2009,Franks Wetland,FW,596.0000000000001,598,4470,35,Achenes,597,organic
Drexler_et_al_2009,Franks Wetland,FW,606,608,4710,35,Achenes,607,organic
Drexler_et_al_2009,Franks Wetland,FW,650,652,4070,35,Achenes,651,organic
Drexler_et_al_2009,Franks Wetland,FW,670.0000000000001,672.0000000000001,4160,35,Achenes,671.0000000000001,organic
Drexler_et_al_2009,Franks Wetland,FW,680.0000000000001,682,4490,60,Charcoal,681,organic
Drexler_et_al_2009,Franks Wetland,FW,684,686,4510,35,Charcoal,685,organic
Drexler_et_al_2009,Franks Wetland,FW,708,710,4340,40,Achenes,709,organic
Drexler_et_al_2009,Franks Wetland,FW,708,710,4195,30,Plant fragment,709,organic
Drexler_et_al_2009,Franks Wetland,FW,708,710,4145,35,Plant fragment,709,organic
Drexler_et_al_2009,Time of Mandeval Tip,TT,42.00000000000001,44,60,35,Achenes,43,organic
Drexler_et_al_2009,Time of Mandeval Tip,TT,186,188,1265,35,Achenes,187,organic
Drexler_et_al_2009,Time of Mandeval Tip,TT,422.00000000000006,424,2315,35,Achenes,423,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,32,32,155,15,Wood,32,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,42.5,42.5,315,15,Juncus roemerianus rhizome and stem,42.5,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,45.5,45.5,350,15,Juncus roemerianus rhizome and stem,45.5,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,53,53,500,15,Wood,53,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,55,55,320,15,Wood,55,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,59,59,525,15,Wood,59,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,65,65,630,20,Wood,65,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,74,74,1140,15,Wood,74,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,80,80,1240,20,Wood,80,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,87,87,1810,15,Wood,87,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,95,95,1940,20,Wood,95,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,100,100,2150,20,Juncus roemerianus rhizome and stem,100,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,106.5,106.5,2140,15,Juncus roemerianus rhizome and stem,106.5,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,110,110,2120,20,Wood,110,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,120,120,2100,20,Juncus roemerianus rhizome and stem,120,organic
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,120,120,2180,15,Juncus roemerianus rhizome and stem,120,organic
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,210,222,3220,45,Mya arenaria,216,carbonate
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,250,260,3300,40,Macoma balthica,255,carbonate
Johnson_et_al_2007,Sprague_Marsh,SM02_VC1,270,277,3450,40,wood,273.5,organic
Krauss_et_al_2018,Savannah_River_high,savannah_high_1,68,69,590,30,"bulk organic, picked free of roots",68.5,organic
Krauss_et_al_2018,Savannah_River_high,savannah_high_1,102,103,1350,30,"bulk organic, picked free of roots",102.5,organic
Krauss_et_al_2018,Savannah_River_high,savannah_high_1,197,198,3010,30,"bulk organic, picked free of roots",197.5,organic
Krauss_et_al_2018,Savannah_River_high,savannah_high_1,243,244,3940,30,"bulk organic, picked free of roots",243.5,organic
Krauss_et_al_2018,Savannah_River_high,savannah_high_1,313,314,4010,30,"bulk organic, picked free of roots",313.5,organic
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,60,61,80,30,"bulk organic, picked free of roots",60.5,organic
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,76,77,130,30,"bulk organic, picked free of roots",76.5,organic
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,112,113,1060,30,"bulk organic, picked free of roots",112.5,organic
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,159,160,1900,30,"bulk organic, picked free of roots",159.5,organic
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,297,298,3820,30,"bulk organic, picked free of roots",297.5,organic
Krauss_et_al_2018,Savannah_River_mid,savannah_mid_1,109,110,160,30,"bulk organic, picked free of roots",109.5,organic
Krauss_et_al_2018,Savannah_River_mid,savannah_mid_1,178,180,2010,30,"bulk organic, picked free of roots",179,organic
Krauss_et_al_2018,Savannah_River_mid,savannah_mid_1,269,270,3880,30,"bulk organic, picked free of roots",269.5,organic
Krauss_et_al_2018,Savannah_River_mid,savannah_mid_1,346,347,5060,30,"bulk organic, picked free of roots",346.5,organic
Krauss_et_al_2018,Savannah_River_mid,savannah_mid_2,20,21,90,30,"bulk organic, picked free of roots",20.5,organic
Krauss_et_al_2018,Savannah_River_mid,savannah_mid_2,42,43,1210,30,"bulk organic, picked free of roots",42.5,organic
Krauss_et_al_2018,Savannah_River_mid,savannah_mid_2,60,61,1100,30,"bulk organic, picked free of roots",60.5,organic
Krauss_et_al_2018,Savannah_River_mid,savannah_mid_2,75,76,930,30,"bulk organic, picked free of roots",75.5,organic
Krauss_et_al_2018,Waccamaw_River_Butler_island,butler_island_1,24,25,185,30,seeds,24.5,organic
Krauss_et_al_2018,Waccamaw_River_Butler_island,butler_island_1,31,32,220,30,"Bulk organic, picked free of roots",31.5,organic
Krauss_et_al_2018,Waccamaw_River_Butler_island,butler_island_1,39,40,40,30,"Bulk organic, picked free of roots",39.5,organic
Krauss_et_al_2018,Waccamaw_River_Butler_island,butler_island_1,51,52,520,30,seeds,51.5,organic
Krauss_et_al_2018,Waccamaw_River_Butler_island,butler_island_1,74,75,1180,30,seeds,74.5,organic
Krauss_et_al_2018,Waccamaw_River_Richmond_island,richmond_island_1,20,21,160,30,"Bulk organic, picked free of roots",20.5,organic
Krauss_et_al_2018,Waccamaw_River_Richmond_island,richmond_island_1,49,50,1170,30,"Bulk organic, picked free of roots",49.5,organic
Krauss_et_al_2018,Waccamaw_River_Richmond_island,richmond_island_1,65,66,1330,30,"Bulk organic, picked free of roots",65.5,organic
Krauss_et_al_2018,Waccamaw_River_Richmond_island,richmond_island_1,93,94,1930,30,"Bulk organic, picked free of roots",93.5,organic
Krauss_et_al_2018,Waccamaw_River_Richmond_island,richmond_island_1,103,104,2150,30,"Bulk organic, picked free of roots",103.5,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high,turkey_creek_1,22,23,30,30,"Bulk organic, picked free of roots",22.5,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high,turkey_creek_1,31,32,220,30,"Bulk organic, picked free of roots",31.5,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high,turkey_creek_1,37,38,1260,30,"Bulk organic, picked free of roots",37.5,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high,turkey_creek_1,60,61,1850,30,"Bulk organic, picked free of roots",60.5,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high,turkey_creek_1,72,73,2180,30,"Bulk organic, picked free of roots",72.5,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high,turkey_creek_1,77,78,2030,30,"Bulk organic, picked free of roots",77.5,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_low,turkey_creek_2,21,22,970,30,"Bulk organic, picked free of roots",21.5,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_low,turkey_creek_2,34,36,1110,30,"Bulk organic, picked free of roots",35,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_low,turkey_creek_2,41,42,2200,30,"Bulk organic, picked free of roots",41.5,organic
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_low,turkey_creek_2,83,84,3850,30,"Bulk organic, picked free of roots",83.5,organic
Lafratta_et_al_2018,False bay,1B,176,176,51765,1162,shell,176,carbonate
Lafratta_et_al_2018,False bay,1Rc,159.7,159.7,48457,937,shell,159.7,carbonate
Lafratta_et_al_2018,False bay,1Rs,46.8,46.8,443,27,shell,46.8,carbonate
Lafratta_et_al_2018,False bay,1Rs,94.2,94.2,1813,30,shell,94.2,carbonate
Lafratta_et_al_2018,False bay,1Rs,163.6,163.6,46855,795,shell,163.6,carbonate
Lafratta_et_al_2018,False bay,2B,160,160,53959,1527,shell,160,carbonate
Lafratta_et_al_2018,False bay,2Rc,120.8,120.8,1482,36,shell,120.8,carbonate
Lafratta_et_al_2018,False bay,2Rs,162.2,162.2,20651,99,shell,162.2,carbonate
Lafratta_et_al_2018,False bay,3B,37.8,37.8,3663,28,shell,37.8,carbonate
Lafratta_et_al_2018,False bay,3B,78.59999999999998,78.59999999999998,2264,28,shell,78.59999999999998,carbonate
Lafratta_et_al_2018,False bay,3B,160,160,5502,29,shell,160,carbonate
Lafratta_et_al_2018,False bay,3Rc,36.1,36.1,419,24,shell,36.1,carbonate
Lafratta_et_al_2018,False bay,3Rc,85.4,85.4,1875,27,shell,85.4,carbonate
Lafratta_et_al_2018,False bay,3Rc,139.8,139.8,3633,30,shell,139.8,carbonate
Lafratta_et_al_2018,False bay,3Rs,107,107,1466,30,shell,107,carbonate
Lafratta_et_al_2018,False bay,4Rc,130.1,130.1,2855,32,shell,130.1,carbonate
Lafratta_et_al_2018,False bay,5Rc,111.9,111.9,5061,33,shell,111.9,carbonate
Lafratta_et_al_2018,False bay,6Rc,32.9,32.9,638,26,shell,32.9,carbonate
Lafratta_et_al_2018,False bay,6Rc,93.6,93.6,4107,31,shell,93.6,carbonate
Lafratta_et_al_2018,False bay,6Rc,148.7,148.7,12491,53,shell,148.7,carbonate
Marot_et_al_2020,14CCT01,14CCT01_GB36R,48,49,105,15,Plant/Wood,48.5,organic
Marot_et_al_2020,14CCT01,14CCT01_GB36R,86,87,1490,20,Plant/Wood,86.5,organic
Marot_et_al_2020,14CCT01,14CCT01_GB53R,59,60,305,20,Plant/Wood,59.5,organic
Marot_et_al_2020,14CCT01,14CCT01_GB53R,87,88,725,20,Plant/Wood,87.5,organic
Marot_et_al_2020,14CCT01,14CCT01_GB60R,83,84,810,20,Plant/Wood,83.5,organic
Marot_et_al_2020,14CCT01,14CCT01_GB64R,47,48,295,15,Plant/Wood,47.5,organic
Marot_et_al_2020,14CCT01,14CCT01_GB64R,97,98,1810,20,Plant/Wood,97.5,organic
Marot_et_al_2020,16CCT03,16CCT03_GB250V,62,63,2930,20,Plant/Wood,62.5,organic
Marot_et_al_2020,16CCT03,16CCT03_GB250V,180,182,3170,20,Plant/Wood,181,organic
Marot_et_al_2020,16CCT03,16CCT03_GB250V,200,203,3240,25,Plant/Wood,201.5,organic
Marot_et_al_2020,16CCT03,16CCT03_GB255V,152,153,3780,20,Plant/Wood,152.5,organic
Marot_et_al_2020,16CCT03,16CCT03_GB255V,222,223,5010,20,Plant/Wood,222.5,organic
Marot_et_al_2020,16CCT03,16CCT03_GB256V,331,332,2120,15,Mollusc,331.5,carbonate
Marot_et_al_2020,16CCT03,16CCT03_GB256V,373,374,40000,1600,Plant/Wood,373.5,organic
Marot_et_al_2020,16CCT03,16CCT03_GB260V,208,210,3610,20,Plant/Wood,209,organic
Marot_et_al_2020,16CCT03,16CCT03_GB265V,75,76,3600,15,Plant/Wood,75.5,organic
Marot_et_al_2020,16CCT03,16CCT03_GB265V,252,253,48000,NA,Plant/Wood,252.5,organic
McTigue_et_al_2020,Traps_Bay,TB_1L,216,216,2416,20,macroparticulate OM sample,216,organic
Rodriguez_et_al_2022,JB,JB_1,88,90,315,15,plant fragment,89,organic
Rodriguez_et_al_2022,JB,JB_5,99,101,215,15,plant fragment,100,organic
Rodriguez_et_al_2022,JB,JB_6,80,82,345,35,plant fragment,81,organic
Rodriguez_et_al_2022,JB,JB_7,56,58,195,15,plant fragment,57,organic
Rodriguez_et_al_2022,LB,LB_3,122,124,780,15,plant fragment,123,organic
Rodriguez_et_al_2022,LB,LB_5,81,83,565,20,plant fragment,82,organic
Rodriguez_et_al_2022,LB,LB_6,78,80,340,15,plant fragment,79,organic
Rodriguez_et_al_2022,LB,LB_7,49,51,115,15,plant fragment,50,organic
Rodriguez_et_al_2022,LB,LB_8,23,25,75,20,plant fragment,24,organic
Rodriguez_et_al_2022,NPR_U,NPR_U_1,100,102,345,25,plant fragment,101,organic
Rodriguez_et_al_2022,NPR_U,NPR_U_5,73,75,530,25,plant fragment,74,organic
Rodriguez_et_al_2022,SRE_U,SRE_U_1,78,80,195,15,plant fragment,79,organic
Rodriguez_et_al_2022,SRE_U,SRE_U_6,57,60,450,25,plant fragment,58.5,organic
Watson_and_Byrne_2013,NA,Bair_Island_1,254,254,1710,35,Sarcocornia rhizome,254,organic
Watson_and_Byrne_2013,NA,Bair_Island_2,199,199,1045,35,Sarcocornia rhizome,199,organic
Watson_and_Byrne_2013,NA,Bair_Island_3,210,210,150,35,Sarcocornia rhizome,210,organic
Watson_and_Byrne_2013,NA,Bair_Island_4,220,220,1155,35,Sarcocornia rhizome,220,organic
Watson_and_Byrne_2013,NA,Corkscrew_Slough_1,130,130,295,35,Sarcocornia rhizome,130,organic
Watson_and_Byrne_2013,NA,Coyote_Creek_1,195,195,500,80,Sarcocornia rhizome,195,organic
Watson_and_Byrne_2013,NA,Coyote_Creek_4,210,210,145,35,Sarcocornia rhizome,210,organic
Watson_and_Byrne_2013,NA,Damon_Slough_2,173,173,1395,35,Sarcocornia rhizome,173,organic
Watson_and_Byrne_2013,NA,Greco_Island_1,190,190,350,40,Sarcocornia rhizome,190,organic
Watson_and_Byrne_2013,NA,Mud_Slough_2,205,205,25,40,Sarcocornia rhizome,205,organic
Watson_and_Byrne_2013,NA,Mud_Slough_3,123,123,305,35,Sarcocornia rhizome,123,organic
Watson_and_Byrne_2013,NA,Plummer_Slough_1,310,310,1820,50,Sarcocornia rhizome,310,organic
Watson_and_Byrne_2013,NA,Ravenswood_Slough_2,210,210,685,35,Sarcocornia rhizome,210,organic
