country,habitat,data_type,tier,n,stock_mean,stock_min,stock_max,habitat_area_ha,habitat_stocks_TgC,habitat_stocks_TgC_min,habitat_stocks_TgC_max,co2_equiv,co2_equiv_min,co2_equiv_max
Angola,mangrove,soil,local,1,68.70920767144605,NA,NA,28720.595713680952,1.9733693753389479,NA,NA,7.242265607493938,NA,NA
Australia,mangrove,soil,local,41,347.72063531397725,169.59443539797348,169.59443539797348,1108321.103910244,385.3861183835587,187.96509185731657,187.96509185731657,1414.3670544676604,689.8318871163518,689.8318871163518
Bangladesh,mangrove,soil,local,2,157.77999999999997,3.2526911934581144,3.2526911934581144,524388.2099106458,82.73797175970168,1.7056729123296228,1.7056729123296228,303.64835635810516,6.259819588249716,6.259819588249716
Belize,mangrove,soil,local,3,519.9281185673337,3.278973953667016,3.278973953667016,56719.1326278458,29.48987191396694,0.1859805585612914,0.1859805585612914,108.22782992425867,0.6825486499199394,0.6825486499199394
Brazil,mangrove,soil,local,6,245.82843237956985,165.27077560466319,165.27077560466319,1169189.015248708,287.4199027740029,193.23277537860636,193.23277537860636,1054.8310431805905,709.1642856394853,709.1642856394853
China,mangrove,soil,local,5,187.43235920248623,112.44898341931541,112.44898341931541,24064.507797415197,4.510467469516156,2.706029438305528,2.706029438305528,16.553415613124294,9.931128038581287,9.931128038581287
Congo DRC,mangrove,soil,local,2,568.9929859312991,0.2263038311070973,0.2263038311070973,24055.543681566964,13.687435627575583,0.005443861694502732,0.005443861694502732,50.23288875320239,0.019978972418825024,0.019978972418825024
Costa Rica,mangrove,soil,local,39,350.16196602564105,82.43367641273011,82.43367641273011,38085.86548621934,13.336221536442673,3.1395579113897716,3.1395579113897716,48.94393303874461,11.522177534800461,11.522177534800461
Cuba,mangrove,soil,local,1,135.95402200395313,NA,NA,410299.8918068596,55.781920518929375,NA,NA,204.7196483044708,NA,NA
Dominican Republic,mangrove,soil,local,8,507.785003125,57.206127440312,57.206127440312,21484.47325282506,10.909493317824753,1.229043514889085,1.229043514889085,40.03784047641684,4.510589699642942,4.510589699642942
Ecuador,mangrove,soil,local,4,338.1435,60.77691327305132,60.77691327305132,152419.90146924573,51.539798952465894,9.263611132683376,9.263611132683376,189.15106215554982,33.99745285694799,33.99745285694799
El Salvador,mangrove,soil,local,24,312.6827979166667,115.02134542123419,115.02134542123419,36752.04131191678,11.49173110655906,4.227269238673449,4.227269238673449,42.17465316107175,15.514078105931556,15.514078105931556
French Guiana,mangrove,soil,local,1,132.23539111363635,NA,NA,64518.18790298514,8.53158781129432,NA,NA,31.310927267450158,NA,NA
Guinea-Bissau,mangrove,soil,local,1,129.62086206343847,NA,NA,283200.61655828817,36.7087080551826,NA,NA,134.72095856252014,NA,NA
Honduras,mangrove,soil,local,15,472.77798666666666,131.26963708929102,131.26963708929102,66827.79085465848,31.594708413646515,8.77245985297006,8.77245985297006,115.9525798780827,32.19492766040012,32.19492766040012
India,mangrove,soil,local,6,113.54752142040554,17.88293697959679,17.88293697959679,452787.078030459,51.41285044154638,8.097162781594472,8.097162781594472,188.68516112047521,29.716587408451712,29.716587408451712
Indonesia,mangrove,soil,local,58,490.90010123953823,170.05354855827022,170.05354855827022,2936406.0824032663,1441.4820431321593,499.3462743207639,499.3462743207639,5290.239098295025,1832.6008267572033,1832.6008267572033
Kenya,mangrove,soil,local,23,519.446130722689,92.54837399355414,92.54837399355414,54681.99226607773,28.40434930282208,5.060729470953596,5.060729470953596,104.24396194135703,18.5728771583997,18.5728771583997
Madagascar,mangrove,soil,local,4,154.724971746875,91.8931621274463,91.8931621274463,301912.95803503745,46.71347390198663,27.743736401090587,27.743736401090587,171.43844922029095,101.81951259200245,101.81951259200245
Malaysia,mangrove,soil,local,1,282.6411387902169,NA,NA,528356.6173545932,149.33531601644913,NA,NA,548.0606097803683,NA,NA
Mexico,mangrove,soil,local,43,338.78799009899654,248.28877119994684,248.28877119994684,1136864.6948854753,385.1561049947591,282.27073811371713,282.27073811371713,1413.522905330766,1035.9336088773418,1035.9336088773418
Micronesia,mangrove,soil,local,55,488.9004452816564,128.9473096646764,128.9473096646764,8534.760645755263,4.172648280082105,1.1005344239020973,1.1005344239020973,15.313619187901324,4.038961335720697,4.038961335720697
Mozambique,mangrove,soil,local,281,155.88250956057433,34.851073833114576,34.851073833114576,331937.4727192859,51.743246264676976,11.56837736971729,11.56837736971729,189.8977137913645,42.45594494686245,42.45594494686245
New Zealand,mangrove,soil,local,8,243.9796888065325,77.03944572037892,77.03944572037892,45546.853054375795,11.112507034323471,3.508904313616659,3.508904313616659,40.78290081596714,12.877678830973139,12.877678830973139
Nigeria,mangrove,soil,local,4,564.8,140.87204596133802,140.87204596133802,851250.4886352002,480.78627598116105,119.91739795962937,119.91739795962937,1764.485632850861,440.09685051183976,440.09685051183976
Palau,mangrove,soil,local,16,536.5547304120377,143.49579682185194,143.49579682185194,5826.751730481021,3.126371203926118,0.8361143824484787,0.8361143824484787,11.473782318408853,3.068539783585917,3.068539783585917
Panama,mangrove,soil,local,11,350.6627181818182,119.06750342520104,119.06750342520104,157123.43814304358,55.09733190931244,18.708295509276205,18.708295509276205,202.20720810717665,68.65944451904367,68.65944451904367
Philippines,mangrove,soil,local,18,156.61829499756655,43.68572223126584,43.68572223126584,293825.90886020544,46.01851287179576,12.835997038816169,12.835997038816169,168.88794223949043,47.10810913245534,47.10810913245534
Puerto Rico,mangrove,soil,local,1,181.68703228101793,NA,NA,9137.061799361827,1.660085642094308,NA,NA,6.09251430648611,NA,NA
Saudi Arabia,mangrove,soil,local,2,301,132.93607486307098,132.93607486307098,8121.957119267931,2.4447090928996476,1.0797010996416543,1.0797010996416543,8.972082370941706,3.962503035684871,3.962503035684871
Singapore,mangrove,soil,local,1,329.7877515,NA,NA,702.1106605959429,0.23154749606211567,NA,NA,0.8497793105479645,NA,NA
Sri Lanka,mangrove,soil,local,1,269.39650186382414,NA,NA,18650.032182513045,5.024253429616755,NA,NA,18.439010086693493,NA,NA
Thailand,mangrove,soil,local,11,308.57546223658983,109.5027707468575,109.5027707468575,258986.5122571811,79.9168827328019,28.3597406782263,28.3597406782263,293.29495962938296,104.08024828909052,104.08024828909052
United States,mangrove,soil,local,38,356.4827019626041,154.88695773542378,154.88695773542378,285523.2532557443,101.78410079376063,44.22382805950317,44.22382805950317,373.5476499131015,162.30144897837664,162.30144897837664
Vietnam,mangrove,soil,local,26,221.88128439718867,100.07561305982595,100.07561305982595,194288.69281249843,43.10902470508799,19.44356004380298,19.44356004380298,158.21012066767292,71.35786536075693,71.35786536075693
American Samoa,mangrove,soil,global,NA,386,55,1376,34.165391798854,0.013187841234357645,0.0018790965489369701,0.047011579115223114,0.04839937733009256,0.00689628433459868,0.17253249535286883
Andaman and Nicobar,mangrove,soil,global,NA,386,55,1376,3284.964472348255,1.2679962863264265,0.18067304597915404,4.520111113951199,4.653546370817985,0.6630700787434953,16.5888077882009
Anguilla,mangrove,soil,global,NA,386,55,1376,3.929296883118,0.0015167085968835479,2.1611132857148998e-4,0.005406712511170368,0.00556632055056262,7.931285758573682e-4,0.01984263491599525
Antigua and Barbuda,mangrove,soil,global,NA,386,55,1376,961.133078011182,0.37099736811231626,0.05286231929061501,1.3225191153433864,1.3615603409722006,0.19400471179655707,4.853645153310228
Aruba,mangrove,soil,global,NA,386,55,1376,45.689241246418995,0.017636047121117732,0.0025129082685530447,0.06286839595507253,0.06472429293450208,0.009222373345589674,0.23072701315511618
Bahrain,mangrove,soil,global,NA,386,55,1376,72.749965908538,0.02808148684069567,0.00400124812496959,0.10010395309014829,0.1030590567053531,0.014684580618638395,0.3673815078408442
Barbados,mangrove,soil,global,NA,386,55,1376,11.496530502264,0.004437660773873904,6.3230917762452e-4,0.015819225971115264,0.016286215040117225,0.002320574681881988,0.05805655931399302
Benin,mangrove,soil,global,NA,386,55,1376,2944.419974199578,1.1365461100410372,0.1619430985809768,4.051521884498619,4.171124223850606,0.5943311717921849,14.869085316109933
Bermuda,mangrove,soil,global,NA,386,55,1376,29.392035784791997,0.01134532581292971,0.0016165619681635598,0.040443441239873784,0.041637345733452034,0.005932782423160265,0.1484274293503368
Bonaire,mangrove,soil,global,NA,386,55,1376,193.64890926632796,0.07474847897680259,0.010650690009648038,0.2664608991504673,0.2743269178448655,0.0390880323354083,0.9779114998822149
British Virgin Islands,mangrove,soil,global,NA,386,55,1376,110.17610807045901,0.04252797771519718,0.006059685943875246,0.1516023247049516,0.15607767821477364,0.02223904741402215,0.5563805316671724
Brunei,mangrove,soil,global,NA,386,55,1376,30.031387064656,0.011592115406957215,0.00165172628855608,0.041323188600966655,0.042543063543532975,0.006061835479000813,0.15165610216554762
Brunei Darussalam,mangrove,soil,global,NA,386,55,1376,12749.194540376306,4.921189092585253,0.7012056997206968,17.5428916875578,18.060763969787878,2.573424917974957,64.38241249333711
Cambodia,mangrove,soil,global,NA,386,55,1376,64959.641755235585,25.074421717520938,3.572780296537957,89.38446705520417,92.02312770330184,13.112103688294303,328.0409940925993
Cameroon,mangrove,soil,global,NA,386,55,1376,199517.7327255147,77.01384483204869,10.97347529990331,274.53640023030823,282.64081053361866,40.27265435064515,1007.5485888452312
Cayman Islands,mangrove,soil,global,NA,386,55,1376,5002.706410995059,1.9310446746440928,0.27514885260472827,6.8837240215292015,7.08693395594382,1.0097962890593528,25.26326715901217
Colombia,mangrove,soil,global,NA,386,55,1376,283531.8442118247,109.44329186576434,15.59425143165036,390.1398176354708,401.65688114735514,57.23090275415682,1431.813130722178
Comoros,mangrove,soil,global,NA,386,55,1376,102.20616890506001,0.03945158119735317,0.005621339289778301,0.14063568841336258,0.14478730299428613,0.020630315193486362,0.5161329764770406
Congo,mangrove,soil,global,NA,386,55,1376,2078.5813674767915,0.8023324078460415,0.11432197521122353,2.860127961648065,2.944559936794972,0.41956164902519033,10.496669619248399
Cook Islands,mangrove,soil,global,NA,386,55,1376,3.699812412843,0.001428127591357398,2.03489682706365e-4,0.005090941880071967,0.00524122826028165,7.468071355323595e-4,0.01868375669986412
Côte d'Ivoire,mangrove,soil,global,NA,386,55,1376,5399.991360618955,2.0843966651989168,0.2969995248340425,7.4303881122116815,7.6497357612800245,1.089988256140936,27.26952437181687
Curacao,mangrove,soil,global,NA,386,55,1376,46.01040178932,0.017760015090677518,0.0025305720984126,0.06331031286210433,0.06517925538278649,0.009287199601174242,0.23234884820392288
Curaçao,mangrove,soil,global,NA,386,55,1376,0.751065239572,2.8991118247479196e-4,4.130858817646e-5,0.001033465769651072,0.0010639740396824865,1.516025186076082e-4,0.003792819374619434
Djibouti,mangrove,soil,global,NA,386,55,1376,745.8886792211571,0.28791303017936665,0.04102387735716364,1.0263428226083122,1.0566408207582756,0.15055762990079055,3.7666781589725056
Dominica,mangrove,soil,global,NA,386,55,1376,1.588309413855,6.1308743374803e-4,8.735701776202499e-5,0.00218551375346448,0.0022500308818552703,3.206002551866317e-4,0.008020835475214642
East Timor,mangrove,soil,global,NA,386,55,1376,7.807065114080001,0.00301352713403488,4.2938858127440004e-4,0.010742521596974083,0.01105964458190801,0.001575856093277048,0.03942505426089488
Egypt,mangrove,soil,global,NA,386,55,1376,252.20917512132908,0.09735274159683303,0.013871504631673099,0.34703982496694885,0.35728456166037725,0.05090842199824027,1.2736361576287023
Equatorial Guinea,mangrove,soil,global,NA,386,55,1376,25637.458129307066,9.896058837912529,1.4100601971118885,35.277142385926524,36.31853593513898,5.174920923400631,129.46711255635034
Eritrea,mangrove,soil,global,NA,386,55,1376,7889.580823614685,3.0453781979152685,0.4339269452988077,10.856063213293806,11.176537986349036,1.5925118892466243,39.84175199278827
Federal Republic of Somalia,mangrove,soil,global,NA,386,55,1376,340.10472566645586,0.13128042410725196,0.018705759911655073,0.46798410251704325,0.4817991564736147,0.06865013887577412,1.7175016562375487
Fiji,mangrove,soil,global,NA,386,55,1376,53848.11221919758,20.785371316610266,2.961646172055867,74.09500241361587,76.28231273195968,10.869241451445031,271.9286588579703
French Polynesia,mangrove,soil,global,NA,386,55,1376,134.7149838171979,0.05199998375343838,0.007409324109945884,0.1853678177324643,0.19083994037511887,0.027192219483501395,0.6802998910781439
French Southern Territories,mangrove,soil,global,NA,386,55,1376,789.661225842307,0.3048092331751305,0.04343136742132688,1.0865738467590143,1.1186498857527287,0.15939311843626966,3.987726017605582
Gabon,mangrove,soil,global,NA,386,55,1376,175601.79268477907,67.78229197632473,9.65809859766285,241.628066734256,248.76101155311176,35.44522185342266,886.7750049147195
Galapagos,mangrove,soil,global,NA,386,55,1376,483.6163690049179,0.18667591843589829,0.026598900295270483,0.665456123750767,0.6851006206597468,0.09761796408364268,2.442223974165315
Gambia,mangrove,soil,global,NA,386,55,1376,64445.4551029784,24.87594566974966,3.544500030663812,88.67694622169827,91.29472060798126,13.00831511253619,325.4443926336327
Ghana,mangrove,soil,global,NA,386,55,1376,18100.919793247383,6.9869550401934895,0.995550588628606,24.9068656355084,25.642124997510106,3.653670660266984,91.40819688231582
Grenada,mangrove,soil,global,NA,386,55,1376,202.91831877175895,0.07832647104589896,0.011160507532446741,0.2792156066299403,0.28745814873844916,0.04095906264407954,1.024721276331881
Guadeloupe,mangrove,soil,global,NA,386,55,1376,3733.303529467164,1.4410551623743253,0.20533169412069402,5.137025656546818,5.2886724459137735,0.753567317422947,18.852884159526823
Guam,mangrove,soil,global,NA,386,55,1376,55.54914410063301,0.021441969622844344,0.0030552029255348154,0.07643562228247101,0.07869202851583874,0.011212594736712772,0.28051873377666864
Guatemala,mangrove,soil,global,NA,386,55,1376,26684.61490981425,10.3002613551883,1.4676538200397835,36.718030115904405,37.801959173541064,5.386289519546005,134.75517052536915
Guinea,mangrove,soil,global,NA,386,55,1376,224482.32454857594,86.65017727575031,12.346527850171675,308.8876785788405,318.00615060200363,45.31175721013005,1133.6177803843445
Guyana,mangrove,soil,global,NA,386,55,1376,27503.077951824893,10.616188089404409,1.512669287350369,37.844235261711056,38.96141028811418,5.551496284575855,138.88834341047956
Haiti,mangrove,soil,global,NA,386,55,1376,16906.46678575353,6.525896179300863,0.9298556732164442,23.263298297196858,23.95003897803417,3.4125703207043503,85.37630475071246
Hawaii,mangrove,soil,global,NA,386,55,1376,30.920444586065994,0.011935291610221473,0.0017006244522336296,0.04254653175042681,0.04380252020951281,0.006241291739697421,0.1561457715240664
Iran,mangrove,soil,global,NA,386,55,1376,12913.997638296458,4.984803088382433,0.7102698701063053,17.769660750295927,18.29422733436353,2.6066904232901402,65.21465495358605
Ivory Coast,mangrove,soil,global,NA,386,55,1376,25.31198555828,0.00977042642549608,0.0013921592057054,0.03482929212819328,0.035857464981570615,0.005109224284938818,0.12782350211046933
Jamaica,mangrove,soil,global,NA,386,55,1376,10853.62508466509,4.189499282680725,0.5969493796565799,14.934588116499164,15.37546236743826,2.190804223339648,54.80993838755193
Japan,mangrove,soil,global,NA,386,55,1376,1252.1450550112165,0.48332799123432957,0.06886797802561691,1.722951595695434,1.7738137278299895,0.25274547935401404,6.323232356202243
Kiribati,mangrove,soil,global,NA,386,55,1376,145.045507790103,0.05598756600697975,0.007977502928455664,0.1995826187191817,0.20547436724561569,0.029277435747432287,0.7324682106993968
Liberia,mangrove,soil,global,NA,386,55,1376,18515.16879131626,7.146855153448077,1.0183342835223943,25.476872256851173,26.22895841315444,3.737286820527187,93.50012118264381
Maldives,mangrove,soil,global,NA,386,55,1376,99.06609007197898,0.03823951076778388,0.005448634953958843,0.1363149399390431,0.14033900451776685,0.019996490281028956,0.5002758295762881
Marshall Islands,mangrove,soil,global,NA,386,55,1376,33.087219724671,0.012771666813723007,0.001819797084856905,0.045528014341147297,0.046872017206363435,0.006678655301424841,0.16708781263201058
Martinique,mangrove,soil,global,NA,386,55,1376,2087.43616689882,0.8057503604229446,0.11480898917943509,2.872312165652776,2.9571038227522064,0.4213489902885268,10.541385647945688
Mauritania,mangrove,soil,global,NA,386,55,1376,392.423770315168,0.15147557534165484,0.02158330736733424,0.5399751079536711,0.5559153615038732,0.07921073803811665,1.9817086461899729
Mauritius,mangrove,soil,global,NA,386,55,1376,435.14019749228294,0.1679641162320212,0.02393271086207556,0.5987529117493814,0.6164283065715178,0.0878330488638173,2.1974231861202296
Mayotte,mangrove,soil,global,NA,386,55,1376,691.8954877083922,0.26707165825543944,0.03805425182396158,0.9520481910867477,0.9801529857974627,0.13965910419393898,3.494016861288364
Myanmar,mangrove,soil,global,NA,386,55,1376,578081.6444920149,223.13951477391774,31.79449044706082,795.4403428210125,818.9220192202781,116.6857799407132,2919.2660581531154
New Caledonia,mangrove,soil,global,NA,386,55,1376,37689.60214969579,14.548186429782575,2.0729281182332686,51.86089255798141,53.39184419730205,7.6076461939160955,190.32947568779176
Nicaragua,mangrove,soil,global,NA,386,55,1376,79029.36040351441,30.50533311575656,4.346614822193293,108.74439991523583,111.95457253482657,15.952076397449384,399.09194768891547
Oman,mangrove,soil,global,NA,386,55,1376,152.76688894578297,0.05896801913307222,0.008402178892018063,0.21020723918939738,0.21641263021837506,0.030835996533706292,0.7714605678250883
Pakistan,mangrove,soil,global,NA,386,55,1376,94268.19981278866,36.387525127736424,5.184750989703376,129.71304294239718,133.54221721879267,19.02803613221139,476.04686759859766
Papua New Guinea,mangrove,soil,global,NA,386,55,1376,461251.79540446703,178.04319302612427,25.36884874724569,634.6824704765467,653.41851840587606,93.10367490239167,2329.2846666489263
Peru,mangrove,soil,global,NA,386,55,1376,5488.433762767226,2.118535432428149,0.3018638569521974,7.552084857567702,7.775025037011306,1.1078403550145646,27.716151427273466
Phoenix Group,mangrove,soil,global,NA,386,55,1376,2.818324596384,0.001087873294204224,1.5500785280112e-4,0.0038780146446243838,0.0039924949897295016,5.688788197801104e-4,0.014232313745771488
Qatar,mangrove,soil,global,NA,386,55,1376,568.8260619218992,0.21956685990185307,0.03128543340570446,0.7827046612045333,0.8058103758398008,0.11481754059893536,2.8725261066206373
Republic of Mauritius,mangrove,soil,global,NA,386,55,1376,0.195858232906,7.5601277901716e-5,1.0772202809829999e-5,2.69500928478656e-4,2.774566898992977e-4,3.95339843120761e-5,9.890684075166674e-4
Saint Kitts and Nevis,mangrove,soil,global,NA,386,55,1376,38.265992426858006,0.014770673076767191,0.0021046295834771904,0.052654005579356615,0.05420837019173559,0.007723990571361289,0.19324020047623877
Saint Lucia,mangrove,soil,global,NA,386,55,1376,172.984817041361,0.06677213937796535,0.009514164937274854,0.23802710824891274,0.24505375151713282,0.03491698531979871,0.8735594872735097
Saint Martin,mangrove,soil,global,NA,386,55,1376,1.1587296101620002,4.4726962952253206e-4,6.373012855891e-5,0.0015944119435829123,0.0016414795403476925,2.3388957181119972e-4,0.005851491832949288
Saint Vincent and the Grenadines,mangrove,soil,global,NA,386,55,1376,34.45987186742299,0.013301510540825274,0.0018952929527082645,0.047416783689574034,0.04881654368482875,0.006955725136439331,0.1740195961407367
Samoa,mangrove,soil,global,NA,386,55,1376,247.06526889287196,0.09536719379264857,0.013588589789107956,0.3399618099965918,0.34999760121902024,0.0498701245260262,1.2476598426874919
Sao Tome and Principe,mangrove,soil,global,NA,386,55,1376,48.71146914919401,0.018802627091588888,0.0026791308032056704,0.06702698154929096,0.06900564142613122,0.009832410047764811,0.2459890222858978
Senegal,mangrove,soil,global,NA,386,55,1376,135104.3982035579,52.150297706573355,7.4307419011956855,185.9036519280957,191.3915925831242,27.270822777388165,682.2664025761112
Seychelles,mangrove,soil,global,NA,386,55,1376,394.48677474764975,0.15227189505259278,0.021696772611120737,0.5428138020527661,0.5588378548430155,0.0796271554828131,1.9921266535336515
Sierra Leone,mangrove,soil,global,NA,386,55,1376,154814.58492974797,59.75842978288272,8.51480217113614,213.02486886333324,219.3134373031796,31.249323968069632,781.801268728433
Sint Maarten,mangrove,soil,global,NA,386,55,1376,5.985146116213999,0.0023102664008586033,3.291830363917699e-4,0.008235561055910463,0.008478677691151074,0.0012081017435577955,0.0302245090751914
Solomon Islands,mangrove,soil,global,NA,386,55,1376,54072.21354461971,20.871874428223208,2.973971744954084,74.40336583739672,76.59977915157917,10.914476303981488,273.06035262324593
Somalia,mangrove,soil,global,NA,386,55,1376,3182.9689739368478,1.2286260239396232,0.1750632935665266,4.379765308137102,4.509057507858417,0.6424822873891527,16.073738680863165
South Africa,mangrove,soil,global,NA,386,55,1376,3520.818951597898,1.3590361153167887,0.1936450423378844,4.8446468773987075,4.987662543212615,0.7106773053800357,17.779854040053255
Sudan,mangrove,soil,global,NA,386,55,1376,786.6134512166258,0.3036327921696175,0.043263739816914414,1.082380108874077,1.1143323472624962,0.1587779251280759,3.9723349995678623
Suriname,mangrove,soil,global,NA,386,55,1376,82005.36220654362,31.654069811725837,4.5102949213598995,112.83937839620403,116.17043620903382,16.552782361390832,414.1205187140688
Taiwan,mangrove,soil,global,NA,386,55,1376,16.911102520030997,0.006527685572731965,9.301106386017049e-4,0.023269677067562652,0.023956606051926312,0.0034135060436682567,0.08539971483795493
Tanzania,mangrove,soil,global,NA,386,55,1376,112744.49958380149,43.51937683934738,6.200947477109082,155.13643142731087,159.71611300040487,22.75747724099033,569.3507033382309
Timor-Leste,mangrove,soil,global,NA,386,55,1376,1072.805531826752,0.41410293528512626,0.05900430425047136,1.4761804117936108,1.5197577724964133,0.21654579659922987,5.4175821112825515
Togo,mangrove,soil,global,NA,386,55,1376,11.450688896537999,0.004419965914063667,6.297878893095899e-4,0.015756147921636286,0.01622127490461366,0.0023113215537661947,0.05782506287240517
Tonga,mangrove,soil,global,NA,386,55,1376,1188.9787152677113,0.45894578409333653,0.06539382933972412,1.6360347122083707,1.684331027622545,0.23999535367678754,6.004247393804721
Trinidad and Tobago,mangrove,soil,global,NA,386,55,1376,8521.511754931169,3.2893035374034314,0.4686831465212143,11.725600174785288,12.071743982270593,1.7200671477328564,43.03295264146201
Turks and Caicos Islands,mangrove,soil,global,NA,386,55,1376,17699.38090279422,6.831961028478569,0.973465949653682,24.354348122244847,25.073296974516346,3.572620035229013,89.3804576086386
Tuvalu,mangrove,soil,global,NA,386,55,1376,9.145176771327,0.003530038233732222,5.02984722422985e-4,0.012583763237345951,0.012955240317797255,0.0018459539312923549,0.04618241108105964
United Arab Emirates,mangrove,soil,global,NA,386,55,1376,8996.642069629255,3.4727038388768925,0.494815313829609,12.379379487809855,12.744823088678196,1.8159722017546651,45.432322720262164
United States Virgin Islands,mangrove,soil,global,NA,386,55,1376,1.6097695055230001,6.21371029131878e-4,8.853732280376501e-5,0.002215042839599648,0.002280431676913992,3.249319746898176e-4,0.008129207221330708
US Virgin Islands,mangrove,soil,global,NA,386,55,1376,286.71542549919786,0.11067215424269038,0.015769348402455884,0.39452042548689625,0.4061668060706737,0.05787350863701309,1.4478899615369092
Vanuatu,mangrove,soil,global,NA,386,55,1376,1717.2812507353608,0.6628705627838493,0.09445046879044484,2.3629790010118565,2.432734965416727,0.3466332204609326,8.672132933713513
Venezuela,mangrove,soil,global,NA,386,55,1376,296630.0752405226,114.49920904284173,16.314654138228743,408.16298353095914,420.2120971872291,59.874780687299484,1497.95814955862
Wallis and Futuna,mangrove,soil,global,NA,386,55,1376,31.188667269106,0.012038825565874914,0.00171537669980083,0.04291560616228986,0.044182489826760936,0.006295432488269046,0.15750027461560379
Yemen,mangrove,soil,global,NA,386,55,1376,1671.7109001354333,0.6452804074522772,0.09194409950744883,2.300274198586356,2.3681790953498574,0.33743484519233724,8.442006308811926
